플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,35fb6902d958eb075f6f4fb10fdced8bbec3961666f7d3235a4bb10b37fd8732,650000,https://web.joongna.com/product/221489154,아이폰 14 프로,아이폰 14 프로 256GB,256,서울특별시,,강일동,,2025-11-05
중고나라,df2c7b4d5f8a6510cd6ae37be10e2cef40417823e95184455dadbc0d8738081e,750000,https://web.joongna.com/product/221493341,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 256 100%,256,서울특별시,,행당제1동,White Titanium,2025-11-05
중고나라,d0c7b9ef667fd11d7cf7284dd80e449e0732758ee0edcbdc9eedc856e58bf121,790000,https://web.joongna.com/product/221492814,아이폰 14 프로,아이폰 14 프로 128GB 네이비,128,서울특별시,,잠실본동,Black Titanium,2025-11-05
