플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,7e2e4fa5ea97fbdf1c5ef4689e8aadd642a9b25a88049897186612ce94f8de6d,650000,https://web.joongna.com/product/221450883,아이폰 14 프로,아이폰14프로 128기가 실버(화이트),128,서울특별시,,진관동,White Titanium,2025-11-04
중고나라,61b3545428cb665350f5bb98e61ff3c232f229e6450b0cc27b5d96330581cefa,700000,https://web.joongna.com/product/221481177,아이폰 14 프로,아이폰14프로 512GB,512,서울특별시,,진관동,Black Titanium,2025-11-04
중고나라,c63fdcc833c4fe312e24f4adec4efa344165b22b572d819220128908357309cf,750000,https://web.joongna.com/product/221455705,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 256 100%,256,서울특별시,,행당제1동,White Titanium,2025-11-04
