플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,02ca0be4b30f55ad324d7282bd3f5e4fb161d6bfc5d480f82c6b9f0a997e35fd,1000000,https://web.joongna.com/product/221498964,아이폰 16,"아이폰16 512g S급 (기스,찍힘X) 배터리100%",512,서울특별시,,노량진제1동,,2025-11-05
중고나라,df74dca46c0dd425b9ed587fccf3208df5f430f1559066c262ce732beaf2813d,1000000,https://web.joongna.com/product/221501243,아이폰 16,아이폰16 256 미개봉,256,서울특별시,,천호제1동,Blue Titanium,2025-11-05
