플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,166a1db35f6e726b3203cd6e1616961140f21118a43c7b58ebeda6d3e79c026f,1000000,https://web.joongna.com/product/221410428,아이폰 16,아이폰 16 256 미개봉,256,서울특별시,,천호제1동,,2025-11-03
중고나라,ed5af80d9f8a01fb393b2a760c29532588aaa82616207e6c8659a72a39ef72e7,1000000,https://web.joongna.com/product/221411401,아이폰 16,아이폰16 256 미개봉,256,서울특별시,,천호제1동,,2025-11-03
중고나라,357cb2a183c02cd113f5234451afab20e2e9e063bee0f4b153df84fdfa6d361a,1000000,https://web.joongna.com/product/221410404,아이폰 16,아이폰16 256 미개봉,256,서울특별시,,천호제1동,,2025-11-03
