플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,dd2f077370a0873c8090044177d6280b24950245b73f64817ab427357fc8a9b0,870000,https://web.joongna.com/product/221511974,아이폰 15 프로,아이폰15프로 512G+추가Full포함,512,서울특별시,,구의제1동,Black Titanium,2025-11-05
중고나라,08cac38ab37e9732efc58c0c3998a8cda305727783444fd892c9e1ce908963b7,900000,https://web.joongna.com/product/221496867,아이폰 15 프로,아이폰 15프로 256,256,서울특별시,,성수1가제2동,,2025-11-05
중고나라,00857f46651d379ded1b7ac8ee0f4f2227f12ed84375fbcbd383a2c6250b6b29,1000000,https://web.joongna.com/product/221494673,아이폰 15 프로,아이폰 15 Pro 실버 512,512,서울특별시,,우장산동,White Titanium,2025-11-05
