플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,89d21d51be58d3bb9f3535a363840e60da499175b2815f428481fc296a9bc10a,800000,https://web.joongna.com/product/221280640,아이폰 14 프로,아이폰 14 Pro 스페이스블랙 256g 리퍼폰,256,서울특별시,,,,2025-10-30
중고나라,d88b0535be0e2c41e82b8df2453489bab590381dbe4d1f7812d5561a0db01aff,685000,https://web.joongna.com/product/221274447,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 128 100%,128,서울특별시,,행당제1동,Black Titanium,2025-10-30
중고나라,6e0f11ed17ada2f4856b86b73362ca6d228b6a6082ef186bbefbdb50d9657663,750000,https://web.joongna.com/product/221271389,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 256 100%,256,서울특별시,,행당제1동,White Titanium,2025-10-30
