플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,52e1bdbe6b29b119f493098dc5f6bf971d4017c84110c6c28b1bfd3205e7ed2b,630000,https://web.joongna.com/product/220621766,아이폰 15,아이폰 15 256,256,서울특별시,,가산동,Pink,2025-10-22
중고나라,7299ecc9c441465d598ca02579facca244c47344f86facf5dfd09a3c757a16e9,560000,https://web.joongna.com/product/220323019,아이폰 15,아이폰 15 128기가 블루 판매합니다,128,서울특별시,,반포1동,Blue Titanium,2025-10-22
중고나라,49cef6676f3bc109c380fa8bc550b995a330c1c6e66ab3ed04df176ad0532039,650000,https://web.joongna.com/product/220780696,아이폰 15,아이폰15. 128GB그린,128,서울특별시,,반포1동,Green,2025-10-22
