플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
중고나라,54be784f27fb4d756a741a1a077fd1f74afeddff95c14a6431e59dc775c8b56f,850000,https://web.joongna.com/product/221242728,아이폰 14 프로,아이폰14 프로 블루,256,서울특별시,,대흥동,Blue Titanium,2025-10-29
중고나라,5fb59092213e29f7d05baf9f840ff4a1dfd6bd8e1b9edc9181549ab0980bd700,685000,https://web.joongna.com/product/221237668,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 128 100%,128,서울특별시,,행당제1동,Black Titanium,2025-10-29
중고나라,6404090f0f0806684e27b8e207aeb4fafda5a84178a6719b55f7966c7b089127,750000,https://web.joongna.com/product/221233796,아이폰 14 프로,아이폰 iPhone 14 PRO 프로 256 100%,256,서울특별시,,행당제1동,White Titanium,2025-10-29
