플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,364902992,850000,https://m.bunjang.co.kr/product/364902992,아이폰 15 프로,아이폰15Pro 256g,256GB,서울특별시,관악구,신림동,,2025-10-25
번개장터,358949996,945000,https://m.bunjang.co.kr/product/358949996,아이폰 15 프로,아이폰15 프로 티타늄 블루 256기가 + 애캐플,256GB,서울특별시,도봉구,도봉제1동,블루,2025-10-25
