플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,366891716,1000000,https://m.bunjang.co.kr/product/366891716,아이폰 15 프로,아이폰 15프로 리퍼폰 256기가 직거래만 가능 @@@@,256GB,서울특별시,관악구,중앙동,,2025-11-03
번개장터,366205183,900000,https://m.bunjang.co.kr/product/366205183,아이폰 15 프로,아이폰 미국판 15프로 1테라,1TB,서울특별시,강서구,방화제1동,,2025-11-03
번개장터,367008368,800000,https://m.bunjang.co.kr/product/367008368,아이폰 15 프로,[자급재] 아이폰15 pro 블루 256GB,256GB,서울특별시,영등포구,신길제6동,블루,2025-11-03
번개장터,366660579,890000,https://m.bunjang.co.kr/product/366660579,아이폰 15 프로,아이폰 15프로 256GB S급!!!,256GB,서울특별시,마포구,상암동,,2025-11-03
