플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,367450861,520000,https://m.bunjang.co.kr/product/367450861,아이폰 15 프로,"아이폰15프로 네츄럴티타늄 256G 부품용 (액정파손, 수리필요)",256GB,서울특별시,종로구,종로1.2.3.4가동,데저트,2025-11-06
번개장터,367424506,1000000,https://m.bunjang.co.kr/product/367424506,아이폰 15 프로,아이폰15프로 1테라 특s급 배터리 88%,1TB,서울특별시,동대문구,장안제1동,,2025-11-06
