플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,366231713,820000,https://m.bunjang.co.kr/product/366231713,아이폰 15 프로,(네고 가능) 아이폰 15 프로 128GB 박스포함,128GB,서울특별시,송파구,방이2동,,2025-11-08
번개장터,367883997,950000,https://m.bunjang.co.kr/product/367883997,아이폰 15 프로,"[해외판, 듀얼유심] 아이폰 15 Pro 256GB 내추럴 티타늄",256GB,서울특별시,강서구,방화제1동,데저트,2025-11-08
