플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,359234340,960000,https://m.bunjang.co.kr/product/359234340,아이폰 16,아이폰 16 화이트 128G 애케플 (26.10.25) 풀박,128GB,서울특별시,영등포구,영등포동,화이트,2025-10-29
번개장터,365753579,850000,https://m.bunjang.co.kr/product/365753579,아이폰 16,아이폰 16 256기가 틸 (박스o),256GB,서울특별시,용산구,청파동,,2025-10-29
