플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,351324519,800000,https://m.bunjang.co.kr/product/351324519,아이폰 16,아이폰 16e 256기가 화이트 팝니다.,256GB,서울특별시,중랑구,망우본동,화이트,2025-10-23
번개장터,364571220,1300000,https://m.bunjang.co.kr/product/364571220,아이폰 16,"미국직구 아이폰16 화이트 512GB(배터리 성능 100%, 무음 카메라",512GB,서울특별시,중구,광희동,화이트,2025-10-23
