플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,363190704,309000,https://m.bunjang.co.kr/product/363190704,아이폰 16 프로,루이비통 범퍼 팔라스 아이폰 16 프로,,서울특별시,강남구,개포2동,,2025-11-05
번개장터,367378585,1250000,https://m.bunjang.co.kr/product/367378585,아이폰 16 프로,아이폰16프로 256g 배터리99,256GB,서울특별시,동대문구,용신동,,2025-11-05
번개장터,364783477,990000,https://m.bunjang.co.kr/product/364783477,아이폰 16 프로,아이폰 16 프로 256기가 화이트 풀박스,256GB,서울특별시,관악구,성현동,화이트,2025-11-05
