플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,366235753,1550000,https://m.bunjang.co.kr/product/366235753,아이폰 16 프로,아이폰 16프로 256G 데저트 자급제 미개봉 구매,256GB,서울특별시,중랑구,중화제2동,데저트,2025-10-31
번개장터,364310467,900000,https://m.bunjang.co.kr/product/364310467,아이폰 16 프로,아이폰 16 Pro 데저트 티타늄 128GB 풀박스,128GB,서울특별시,성북구,동선동,데저트,2025-10-31
