플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,365275432,550000,https://m.bunjang.co.kr/product/365275432,아이폰 15,아이폰15 블랙,,서울특별시,종로구,종로1.2.3.4가동,블랙,2025-11-01
번개장터,365285012,530000,https://m.bunjang.co.kr/product/365285012,아이폰 15,아이폰 15 블랙 128 배터리 85,128GB,서울특별시,강동구,명일제2동,블랙,2025-11-01
