플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,367387498,800000,https://m.bunjang.co.kr/product/367387498,아이폰 16,[s급/애플케어]아이폰 16 핑크 128기가,128GB,서울특별시,관악구,중앙동,핑크,2025-11-05
번개장터,367381734,1600000,https://m.bunjang.co.kr/product/367381734,아이폰 16,아이폰16por,,서울특별시,은평구,응암제3동,,2025-11-05
