플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,365286971,1080000,https://m.bunjang.co.kr/product/365286971,아이폰 16 프로,아이폰 16pro 256G 실버 화이트 S급 풀박스,256GB,서울특별시,강남구,세곡동,화이트,2025-10-26
번개장터,365093127,1000000,https://m.bunjang.co.kr/product/365093127,아이폰 16 프로,아이폰16프로 256G 화이트 자급제 배터리 100%,256GB,서울특별시,동작구,신대방제2동,화이트,2025-10-26
