플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,367192336,700000,https://m.bunjang.co.kr/product/367192336,아이폰 14 프로,아이폰14프로 512gb 배터리100프로,512GB,서울특별시,은평구,진관동,,2025-11-04
번개장터,367181419,640000,https://m.bunjang.co.kr/product/367181419,아이폰 14 프로,[S급] 아이폰14프로 스페이스 블랙 256GB,256GB,서울특별시,관악구,인헌동,블랙,2025-11-04
번개장터,362499004,690000,https://m.bunjang.co.kr/product/362499004,아이폰 14 프로,아이폰14프로 128G 실버,128GB,서울특별시,강동구,천호제1동,,2025-11-04
번개장터,365734375,670000,https://m.bunjang.co.kr/product/365734375,아이폰 14 프로,아이폰 14Pro 딥퍼플 256G (카메라무음 홍콩판),256GB,서울특별시,동대문구,휘경제1동,퍼플,2025-11-04
