플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,365164500,1220000,https://m.bunjang.co.kr/product/365164500,아이폰 16 프로,아이폰 16pro 256 블랙 북미판(무음),256GB,서울특별시,강남구,신사동,블랙,2025-10-27
번개장터,365373859,920000,https://m.bunjang.co.kr/product/365373859,아이폰 16 프로,아이폰 16프로 128 화이트,128GB,서울특별시,구로구,구로제1동,화이트,2025-10-27
번개장터,365373590,1468080,https://m.bunjang.co.kr/product/365373590,아이폰 16 프로,(거래완료) 아이폰16프로 512GB 상태 특S급 보증연장,512GB,서울특별시,강남구,청담동,,2025-10-27
