플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,368107562,450000,https://m.bunjang.co.kr/product/368107562,아이폰 14,아이폰 14 엘로우 128GB 리퍼폰,128GB,서울특별시,중구,명동,,2025-11-09
번개장터,366709196,590000,https://m.bunjang.co.kr/product/366709196,아이폰 14,아이폰14 256기가 퍼플_새상품(리퍼폰 미사용) 자급제,256GB,서울특별시,동작구,사당제1동,퍼플,2025-11-09
