플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,xtdy3r3bcdms,650000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-pro-%EC%8B%A4%EB%B2%84-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%92%80%EB%B0%95%EA%B5%AC%EC%84%B1-xtdy3r3bcdms/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 14 프로,아이폰 14 Pro 실버(화이트) 풀박구성,,서울특별시,강남구,역삼동,실버,2025-11-08
당근마켓,b8ymjcf1t2w7,600000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-%ED%94%84%EB%A1%9C-256-%EC%8B%A4%EB%B2%84-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%AC%B4%EC%9D%8C-%ED%92%80%EB%B0%95-%EB%AF%B8%EA%B5%AD%ED%8C%90-s%EA%B8%89-b8ymjcf1t2w7/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 14 프로,아이폰 14 프로 256 실버 카메라 무음 풀박 (미국판) S급,256.0,서울특별시,서초구,서초동,실버,2025-11-08
당근마켓,qp6curavb3zv,830000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B014%ED%94%84%EB%A1%9C-512-%EA%B8%B0%EA%B0%80-%ED%99%94%EC%9D%B4%ED%8A%B8-qp6curavb3zv/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 14 프로,아이폰14프로 512 기가 화이트,512.0,서울특별시,서초구,반포동,화이트 ,2025-11-08
당근마켓,rumfy642g5td,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14pro-%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4-%EA%B7%B8%EB%A0%88%EC%9D%B4-rumfy642g5td/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 14 프로,아이폰 14Pro 스페이스 그레이,,서울특별시,서초구,반포동,,2025-11-08
당근마켓,o8r6ke6rhher,600000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-pro-256g-%EB%94%A5-%ED%8D%BC%ED%94%8C-%ED%8C%9D%EB%8B%88%EB%8B%A4-o8r6ke6rhher/?in=%EC%9E%A0%EC%8B%A4%EB%8F%99-6188,아이폰 14 프로,아이폰 14 Pro 256G 딥 퍼플 팝니다,256.0,서울특별시,송파구,잠실동,딥퍼플,2025-11-08
당근마켓,9z1pzmg5ibcf,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-pro-%EB%94%A5%ED%8D%BC%ED%94%8C-128g-%EA%B3%B5%EA%B8%B0%EA%B3%84-9z1pzmg5ibcf/?in=%ED%96%89%EB%8B%B9%EB%8F%99-6143,아이폰 14 프로,아이폰 14 Pro 딥퍼플 128g 공기계,128.0,서울특별시,성동구,행당동,딥퍼플,2025-11-08
당근마켓,ccoa13waw9xh,580000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-pro-%ED%99%94%EC%9D%B4%ED%8A%B8-128gb-ccoa13waw9xh/?in=%ED%96%89%EB%8B%B9%EB%8F%99-6143,아이폰 14 프로,아이폰 14 Pro 화이트 128gb,128.0,서울특별시,성동구,행당동,,2025-11-08
당근마켓,nx7tffcjenuc,650000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14%ED%94%84%EB%A1%9C-256%EA%B8%B0%EA%B0%80-%ED%99%94%EC%9D%B4%ED%8A%B8-nx7tffcjenuc/?in=%EC%B0%BD%EB%8F%99-6080,아이폰 14 프로,아이폰 14프로 256기가 화이트,256.0,서울특별시,도봉구,창동,,2025-11-08
