플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,16x2ainnri49,650000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-128gb-%EB%82%B4%EC%B6%94%EB%9F%B4-%ED%8B%B0%ED%83%80%EB%8A%84-16x2ainnri49/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032,아이폰 15 프로,아이폰 15프로 128GB 내추럴 티타늄,128.0,서울특별시,강남구,대치동,내추럴티타늄,2025-11-06
당근마켓,bhe6hbofmw8b,1020000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%A3%A8-%ED%8B%B0%ED%83%80%EB%8A%84-1%ED%85%8C%EB%9D%BC-bhe6hbofmw8b/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 15 프로,아이폰 15 프로 블루 티타늄 1테라,,서울특별시,서초구,반포동,블루티타늄,2025-11-06
당근마켓,rmn9mbnacct1,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8-256%EA%B8%B0%EA%B0%80-%EC%95%A0%ED%94%8C%EC%BC%80%EC%96%B4%ED%94%8C%EB%9F%AC%EC%8A%A426-10-09%EA%B9%8C%EC%A7%80-rmn9mbnacct1/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 15 프로,아이폰15프로 화이트 256기가 애플케어플러스26.10.09까지,256.0,서울특별시,서초구,반포동,화이트티타늄,2025-11-06
당근마켓,fmihricgpwtq,900000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%ED%94%84%EB%A1%9C-fmihricgpwtq/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 15 프로,아이폰15 프로,,서울특별시,강동구,천호동,,2025-11-06
당근마켓,hyij7pgqrpvy,720000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-256-hyij7pgqrpvy/?in=%ED%99%94%EC%96%91%EB%8F%99-72,아이폰 15 프로,아이폰15프로 256,256.0,서울특별시,광진구,화양동,,2025-11-06
당근마켓,2iefnuu51bqs,1300000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-256gb-%EB%82%B4%EC%B8%84%EB%9F%B4-%ED%8B%B0%ED%83%80%EB%8A%84-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%9D%EB%8B%88%EB%8B%A4-2iefnuu51bqs/?in=%EC%84%B1%EC%88%98%EB%8F%991%EA%B0%80-6140,아이폰 15 프로,아이폰 15 Pro 256GB 내츄럴 티타늄 새제품 팝니다!,256.0,서울특별시,성동구,성수동1가,내추럴티타늄,2025-11-06
당근마켓,tjvacf3p3q7y,730000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-128-%EB%82%B4%EC%B8%84%EB%9F%B4%ED%8B%B0%ED%83%80%EB%8A%84-%EB%AF%B8%EA%B5%AD-%EB%AC%B4%EC%9D%8C-tjvacf3p3q7y/?in=%ED%96%89%EB%8B%B9%EB%8F%99-6143,아이폰 15 프로,아이폰 15 프로 128 내츄럴티타늄 미국 무음,128.0,서울특별시,성동구,행당동,내추럴티타늄,2025-11-06
당근마켓,eiwb9x6k5h4y,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-eiwb9x6k5h4y/?in=%EB%A9%B4%EB%AA%A9%EB%8F%99-6407,아이폰 15 프로,아이폰15프로,,서울특별시,중랑구,면목동,,2025-11-06
당근마켓,amwk8osa8unm,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-256%EA%B8%B0%EA%B0%80-%EB%84%A4%EC%B8%84%EB%9F%B4%ED%8B%B0%ED%83%80%EB%8A%84-amwk8osa8unm/?in=%EB%A9%B4%EB%AA%A9%EB%8F%99-6407,아이폰 15 프로,아이폰 15 Pro 256기가 네츄럴티타늄,256.0,서울특별시,중랑구,면목동,내추럴티타늄,2025-11-06
당근마켓,mcuenykm2t4e,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EB%B8%94%EB%A3%A8%ED%8B%B0%ED%83%80%EB%8A%84-128gb-mcuenykm2t4e/?in=%EC%83%81%EB%B4%89%EB%8F%99-6409,아이폰 15 프로,아이폰 15 Pro 블루티타늄 128GB,128.0,서울특별시,중랑구,상봉동,블루티타늄,2025-11-06
당근마켓,sx8yh95baxq1,555000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%EB%B8%94%EB%9E%99-128gb-%ED%8C%90%EB%A7%A4-sx8yh95baxq1/?in=%EC%9D%91%EC%95%94%EB%8F%99-6257,아이폰 15 프로,아이폰15 블랙 128gb 판매,128.0,서울특별시,은평구,응암동,블랙티타늄,2025-11-06
당근마켓,gwiazdxegbbv,780000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-256-%EB%B8%94%EB%A3%A8-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B0%95%EC%8A%A4%ED%92%80%EC%85%8B-gwiazdxegbbv/?in=%EC%84%9C%EA%B5%90%EB%8F%99-230,아이폰 15 프로,아이폰15프로 256 블루 티타늄 박스풀셋,256.0,서울특별시,마포구,서교동,블루티타늄,2025-11-06
당근마켓,wbjqssfa3ws5,690000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EB%B0%A7%EB%8D%B0%EB%A6%AC82-wbjqssfa3ws5/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 15 프로,아이폰 15 Pro 밧데리82%,,서울특별시,관악구,신림동,,2025-11-06
당근마켓,kn2n2msoeecr,820000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-256-%ED%99%94%EC%9D%B4%ED%8A%B8-kn2n2msoeecr/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 15 프로,아이폰15프로 256 화이트,256.0,서울특별시,관악구,신림동,화이트티타늄,2025-11-06
당근마켓,o6equqd5mukh,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-256%EA%B8%B0%EA%B0%80-%EB%94%A5%EB%B8%94%EB%A3%A8-o6equqd5mukh/?in=%EC%8B%A0%EC%9B%94%EB%8F%99-6191,아이폰 15 프로,아이폰15프로 256기가 딥블루?,256.0,서울특별시,양천구,신월동,블루티타늄,2025-11-06
당근마켓,b8av6jk8ppn8,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15pro-%EC%8B%A4%EB%B2%84-256%EA%B8%B0%EA%B0%80-b8av6jk8ppn8/?in=%EB%AF%B8%EC%95%84%EB%8F%99-142,아이폰 15 프로,아이폰 15pro 실버 256기가,256.0,서울특별시,강북구,미아동,,2025-11-06
