플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,6rbzte5e22s8,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-256gb-%ED%99%94%EC%9D%B4%ED%8A%B8-6rbzte5e22s8/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 16,아이폰 16 256GB 화이트,256.0,서울특별시,서초구,서초동,화이트,2025-10-23
당근마켓,i6jpyrksurfd,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-128g-%ED%95%91%ED%81%AC-i6jpyrksurfd/?in=%EC%9E%A5%EC%95%88%EB%8F%99-6085,아이폰 16,아이폰16 128G 핑크,128.0,서울특별시,동대문구,장안동,핑크,2025-10-23
당근마켓,qom2xop8t4ba,760000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%EB%B8%94%EB%9E%99-s%EA%B8%89-qom2xop8t4ba/?in=%EB%AA%A9%EB%8F%99-6190,아이폰 16,아이폰 16 블랙 S급,,서울특별시,양천구,목동,블랙,2025-10-23
당근마켓,c2rtvqjfmvu2,830000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-%ED%99%94%EC%9D%B4%ED%8A%B8-256gb-%EC%9E%90%EA%B8%89%EC%A0%9C-ss%EA%B8%89-c2rtvqjfmvu2/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 16,아이폰16 화이트 256GB 자급제 SS급,256.0,서울특별시,강서구,화곡동,화이트,2025-10-23
