플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,etgkm58fevq1,870000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-512-%ED%92%80%EB%B0%95%EC%8A%A4-%EC%8B%B8%EA%B2%8C-%ED%8C%9D%EB%8B%88%EB%8B%A4-etgkm58fevq1/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 Pro 블랙 티타늄 512 풀박스 싸게 팝니다,512.0,서울특별시,강남구,역삼동,블랙티타늄,2025-10-28
당근마켓,3u7zurjc7v15,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15pro-512%EA%B8%B0%EA%B0%80-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-s%EA%B8%89-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-%ED%92%80%EB%B0%95%EC%8A%A4-3u7zurjc7v15/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15pro 512기가 블랙 티타늄 s급 판매합니다 (풀박스),512.0,서울특별시,강남구,역삼동,블랙티타늄,2025-10-28
당근마켓,ddfwe4rce7uu,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EC%8B%A4%EB%B2%84-256g-ddfwe4rce7uu/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 Pro 실버 256g,256.0,서울특별시,강남구,역삼동,,2025-10-28
당근마켓,588ye63r9bn1,690000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%AC%B4%EC%9D%8C-128-588ye63r9bn1/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 프로 카메라 무음 128,128.0,서울특별시,강남구,역삼동,,2025-10-28
당근마켓,jcmidm5ziyzn,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-1%ED%85%8C%EB%9D%BC-%ED%8B%B0%ED%83%80%EB%8A%84-%ED%92%80%EB%B0%95%EC%8A%A4-jcmidm5ziyzn/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 Pro 1테라 티타늄 풀박스,1024.0,서울특별시,강남구,역삼동,,2025-10-28
당근마켓,n1kz6zicj8fx,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-n1kz6zicj8fx/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032,아이폰 15 프로,아이폰 15프로,,서울특별시,강남구,대치동,,2025-10-28
당근마켓,eub86hjcab77,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-128gb-%EA%B2%80%EC%A0%95-2024%EB%85%848%EC%9B%94-%EA%B5%AC%EC%9E%85-eub86hjcab77/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 15 프로,아이폰 15프로 128gb 검정 2024년8월 구입,128.0,서울특별시,서초구,서초동,블랙티타늄,2025-10-28
당근마켓,ay7xgd1wj8yp,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15pro-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-512gb-%EB%AA%A8%EB%8D%B8%EC%9E%85%EB%8B%88%EB%8B%A4-ay7xgd1wj8yp/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 15 프로,아이폰 15Pro 블랙 티타늄 512GB 모델입니다,512.0,서울특별시,서초구,서초동,블랙티타늄,2025-10-28
당근마켓,cy6wae5ehx3y,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EC%8B%A4%EB%B2%84-256-cy6wae5ehx3y/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 15 프로,아이폰 15 Pro 실버 256,256.0,서울특별시,서초구,반포동,,2025-10-28
당근마켓,82i2jhjf3gv4,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-256%EA%B8%B0%EA%B0%80-%ED%99%94%EC%9D%B4%ED%8A%B8-82i2jhjf3gv4/?in=%EC%8B%A0%EC%B2%9C%EB%8F%99-6187,아이폰 15 프로,아이폰 15프로 256기가 화이트,256.0,서울특별시,송파구,신천동,화이트티타늄,2025-10-28
