플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,fcamq45worzi,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-256gb-%ED%99%94%EC%9D%B4%ED%8A%B8-s%EA%B8%89-fcamq45worzi/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 16,아이폰16 256GB 화이트 S급,256.0,서울특별시,강동구,천호동,화이트,2025-10-26
당근마켓,nifxv8nyjr5w,600000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-128%EA%B8%B0%EA%B0%80-%ED%95%91%ED%81%AC-%EA%B8%89%EC%B2%98-%EB%B0%B0%ED%84%B0%EB%A6%AC-100-nifxv8nyjr5w/?in=%ED%95%9C%EB%82%A8%EB%8F%99-50,아이폰 16,아이폰16 128기가 핑크 급처 배터리 100,128.0,서울특별시,용산구,한남동,핑크,2025-10-26
당근마켓,skrcb5kwuryk,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-128%EA%B8%B0%EA%B0%80-%ED%99%94%EC%9D%B4%ED%8A%B8-skrcb5kwuryk/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 16,아이폰16-128기가 화이트,128.0,서울특별시,강서구,화곡동,화이트,2025-10-26
