플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,51u95b96e67z,890000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-128gb-%ED%8C%9D%EB%8B%88%EB%8B%A4-51u95b96e67z/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032,아이폰 16 프로,아이폰 16 프로 128gb 팝니다,128.0,서울특별시,강남구,대치동,,2025-10-20
당근마켓,i974gezazybr,910000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-128gb-%EB%B8%94%EB%9E%99-i974gezazybr/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 16 프로,아이폰 16 Pro 128GB 블랙,128.0,서울특별시,서초구,서초동,블랙티타늄,2025-10-20
당근마켓,jj4gyxchig6e,1300000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-1%ED%85%8C%EB%9D%BC-%EB%B8%94%EB%9E%99-16pro-1tb-jj4gyxchig6e/?in=%ED%99%A9%ED%95%99%EB%8F%99-34,아이폰 16 프로,아이폰 16프로 1테라 블랙 (16pro 1tb),1024.0,서울특별시,중구,황학동,블랙티타늄,2025-10-20
당근마켓,cewutk7ytqyw,1490000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-1%ED%85%8C%EB%9D%BC-%EB%8D%B0%EC%A0%80%ED%8A%B8%ED%8B%B0%ED%83%80%EB%8A%84-%ED%92%80%EB%B0%95%EC%8A%A4-%EC%9D%B4%EB%B2%88%EC%A3%BC-%EA%B1%B0%EB%9E%98%EC%8B%9C-%EA%B0%80%EA%B2%A9%EC%A0%9C%EC%95%88-cewutk7ytqyw/?in=%EC%A0%95%EB%A6%89%EB%8F%99-6179,아이폰 16 프로,아이폰 16프로 1테라 데저트티타늄 풀박스(이번주 거래시 가격제안),1024.0,서울특별시,성북구,정릉동,데저트티타늄,2025-10-20
당근마켓,jp2zhgm9h4jx,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EC%8B%A4%EB%B2%84-128-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-jp2zhgm9h4jx/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 16 프로,아이폰 16 Pro 실버 128 판매합니다,128.0,서울특별시,관악구,신림동,,2025-10-20
당근마켓,jam3s2qdg695,1150000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-256gb-%EB%B8%94%EB%9E%99-jam3s2qdg695/?in=%EB%B4%89%EC%B2%9C%EB%8F%99-6058,아이폰 16 프로,아이폰16프로 256GB 블랙,256.0,서울특별시,관악구,봉천동,블랙티타늄,2025-10-20
당근마켓,wmq63dh3o6wa,1150000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-%EC%9E%90%EA%B8%89%EC%A0%9C-512-wmq63dh3o6wa/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16 프로,아이폰 16프로 블랙 자급제 512,512.0,서울특별시,금천구,가산동,블랙티타늄,2025-10-20
당근마켓,49vy4k8kctev,1150000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256%EA%B8%B0%EA%B0%80-49vy4k8kctev/?in=%EC%8B%A0%EC%9B%94%EB%8F%99-6191,아이폰 16 프로,아이폰 16 Pro 데저트 티타늄 256기가,256.0,서울특별시,양천구,신월동,데저트티타늄,2025-10-20
