플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,pq5tj2efzo77,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-128gb-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-%ED%8C%90%EB%A7%A4-pq5tj2efzo77/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 프로 블랙 티타늄 128gb 새상품급 판매,128.0,서울특별시,강남구,역삼동,블랙티타늄,2025-11-01
당근마켓,a6h465vd3hj6,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B8%94%EB%A3%A8-256gb-a6h465vd3hj6/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 15 프로,아이폰 15 Pro 티타늄 블루 256GB,256.0,서울특별시,서초구,반포동,블루티타늄,2025-11-01
당근마켓,6md4mu46o4rr,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015pro-%EB%82%B4%EC%B6%94%EB%9F%B4%ED%8B%B0%ED%83%80%EB%8A%84-128gb-s%EA%B8%89-6md4mu46o4rr/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 15 프로,아이폰15Pro 내추럴티타늄 128GB s급,128.0,서울특별시,강동구,천호동,내추럴티타늄,2025-11-01
당근마켓,bhfynb9o6jd4,530000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%B8%94%EB%9E%99-128%EA%B8%B0%EA%B0%80-%EB%B0%B0%ED%84%B0%EB%A6%AC85%ED%94%84%EB%A1%9C-bhfynb9o6jd4/?in=%EB%AA%85%EC%9D%BC%EB%8F%99-6041,아이폰 15 프로,아이폰 15 블랙 128기가 배터리85프로,128.0,서울특별시,강동구,명일동,블랙티타늄,2025-11-01
당근마켓,9uamargeh7e3,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-512-9uamargeh7e3/?in=%ED%99%94%EC%96%91%EB%8F%99-72,아이폰 15 프로,아이폰 15프로 512,512.0,서울특별시,광진구,화양동,,2025-11-01
당근마켓,iubn5dmuaumg,840000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B8%94%EB%A3%A8-iubn5dmuaumg/?in=%EC%9D%91%EC%95%94%EB%8F%99-6257,아이폰 15 프로,아이폰 15 Pro 티타늄 블루,,서울특별시,은평구,응암동,블루티타늄,2025-11-01
당근마켓,gi5th6o3knhr,750000.0,https://www.daangn.com/kr/buy-sell/%EA%B8%89%EC%B2%98-%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B8%94%EB%A3%A8-%EB%B0%B0%ED%84%B0%EB%A6%AC100-gi5th6o3knhr/?in=%ED%95%A9%EC%A0%95%EB%8F%99-231,아이폰 15 프로,[급처]아이폰 15프로 티타늄 블루 배터리100%,,서울특별시,마포구,합정동,블루티타늄,2025-11-01
당근마켓,v8d18fgw8ar5,780000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-256-%ED%8C%9D%EB%8B%88%EB%8B%A4-v8d18fgw8ar5/?in=%EB%B4%89%EC%B2%9C%EB%8F%99-6058,아이폰 15 프로,아이폰 15 프로 블랙 티타늄 256 팝니다,256.0,서울특별시,관악구,봉천동,블랙티타늄,2025-11-01
당근마켓,p7qswukdip17,730000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%84%EB%A1%9C-128%EA%B8%B0%EA%B0%80-%EB%B8%94%EB%A3%A8-%ED%8B%B0%ED%83%80%EB%8A%84-%ED%8C%9D%EB%8B%88%EB%8B%A4-p7qswukdip17/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 15 프로,아이폰 15 프로 128기가 블루 티타늄 팝니다,128.0,서울특별시,금천구,가산동,블루티타늄,2025-11-01
당근마켓,1db846csi7pi,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8%ED%8B%B0%ED%83%80%EB%8A%84-256-%EB%B0%B0%ED%84%B0%EB%A6%AC-82-1db846csi7pi/?in=%EA%B5%AC%EB%A1%9C%EB%8F%99-6064,아이폰 15 프로,"아이폰 15프로 화이트티타늄, 256 배터리 82%",256.0,서울특별시,구로구,구로동,화이트티타늄,2025-11-01
당근마켓,83n8dyujp2zy,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EB%B3%B8%EC%B2%B4-%EB%B0%95%EC%8A%A4-128gb-83n8dyujp2zy/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 15 프로,아이폰 15 Pro 본체 + 박스 128GB,128.0,서울특별시,강서구,화곡동,,2025-11-01
당근마켓,rr7a6ikrczq8,790000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EC%8B%A4%EB%B2%84-256-rr7a6ikrczq8/?in=%EB%B0%A9%ED%99%94%EB%8F%99-6053,아이폰 15 프로,아이폰 15 Pro 실버 256,256.0,서울특별시,강서구,방화동,,2025-11-01
