플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,s2pwsifkvmsk,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-128%EA%B8%B0%EA%B0%80-s2pwsifkvmsk/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 16 프로,아이폰16프로 128기가,128.0,서울특별시,강남구,역삼동,,2025-10-28
당근마켓,mz43auuogeh3,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016pro-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256g-mz43auuogeh3/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 16 프로,아이폰16Pro 데저트 티타늄 256G,256.0,서울특별시,서초구,반포동,데저트티타늄,2025-10-28
당근마켓,v9fqcv58brbz,1000000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-256gb-%EB%84%A4%EC%B6%94%EB%9F%B4-%ED%8B%B0%ED%83%80%EB%8A%84-95-v9fqcv58brbz/?in=%EC%9E%A0%EC%8B%A4%EB%8F%99-6188,아이폰 16 프로,아이폰 16 Pro 256GB 네추럴 티타늄 95%,256.0,서울특별시,송파구,잠실동,내추럴티타늄,2025-10-28
당근마켓,9kzxttpgxr85,720000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-256-%EB%8D%B0%EC%9F%88%ED%8A%B8-%EC%83%89%EC%83%81-%ED%8C%9D%EB%8B%88%EB%8B%A4-9kzxttpgxr85/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 16 프로,아이폰16프로 256 데쟈트 색상 팝니다!,256.0,서울특별시,강동구,천호동,데저트티타늄,2025-10-28
당근마켓,tuoc5dqd6cw6,1300000.0,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EC%A7%80%EB%A7%89%EA%B0%80%EA%B2%A9%EB%82%B4%EB%A6%BC-%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8%ED%8B%B0%ED%83%80%EB%8A%84-1t-1%ED%85%8C%EB%9D%BC-%ED%92%80%EB%B0%95%EC%8A%A4-tuoc5dqd6cw6/?in=%ED%99%94%EC%96%91%EB%8F%99-72,아이폰 16 프로,(마지막가격내림)아이폰 16 프로 화이트티타늄 1T 1테라 (풀박스),1024.0,서울특별시,광진구,화양동,화이트티타늄,2025-10-28
당근마켓,i3ntxz9xr5gj,1400000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16pm-256gb-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8C%9D%EB%8B%88%EB%8B%A4-i3ntxz9xr5gj/?in=%EC%83%81%EB%B4%89%EB%8F%99-6409,아이폰 16 프로,아이폰 16PM 256GB 화이트 팝니다,256.0,서울특별시,중랑구,상봉동,화이트티타늄,2025-10-28
당근마켓,2dqi2jyhiw3j,1190000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-%EB%8D%B0%EC%A0%80%ED%8A%B8-256-%EC%95%A0%ED%94%8C%EC%BC%80%EC%96%B4%ED%94%8C%EB%9F%AC%EC%8A%A4-2dqi2jyhiw3j/?in=%EC%9D%91%EC%95%94%EB%8F%99-6257,아이폰 16 프로,아이폰16프로 데저트 256 애플케어플러스,256.0,서울특별시,은평구,응암동,데저트티타늄,2025-10-28
당근마켓,62v8wphbgj9z,1030000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-128g-%EB%A6%AC%ED%8D%BC-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%9D%EB%8B%88%EB%8B%A4-62v8wphbgj9z/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 16 프로,아이폰 16 프로 128g 리퍼 새상품 팝니다,128.0,서울특별시,관악구,신림동,,2025-10-28
당근마켓,16qzuucz7tzr,1000000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016pro-256%EA%B8%B0%EA%B0%80-%EB%B0%B0%ED%84%B0%EB%A6%AC100-%ED%8C%9D%EB%8B%88%EB%8B%A4-16qzuucz7tzr/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16 프로,아이폰16pro 256기가 배터리100% 팝니다,256.0,서울특별시,금천구,가산동,,2025-10-28
당근마켓,e44b5rkrk7m7,1045000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-512%EA%B8%B0%EA%B0%80-%EB%8D%B0%EC%A0%80%ED%8A%B8%ED%8B%B0%ED%83%80%EB%8A%84-e44b5rkrk7m7/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16 프로,아이폰 16프로 512기가 데저트티타늄,512.0,서울특별시,금천구,가산동,데저트티타늄,2025-10-28
