플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,q1y4iwot3a4p,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-128gb-%EB%B8%94%EB%A3%A8-a%EA%B8%89-%EC%9E%90%EA%B8%89%EC%A0%9C-q1y4iwot3a4p/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 15,아이폰 15 128GB 블루 A급 자급제,128.0,서울특별시,강동구,천호동,블루,2025-10-31
당근마켓,snmjb4w8mdpr,540000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%95%91%ED%81%AC-512%EA%B8%B0%EA%B0%80-snmjb4w8mdpr/?in=%EC%A0%95%EB%A6%89%EB%8F%99-6179,아이폰 15,아이폰 15 핑크 512기가,512.0,서울특별시,성북구,정릉동,핑크,2025-10-31
당근마켓,qbmm48pzax3q,600000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%EB%B8%94%EB%9E%99-256gb-%EC%83%81%ED%83%9C%EC%A2%8B%EC%9D%8C-qbmm48pzax3q/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 15,아이폰15 블랙 256gb [상태좋음],256.0,서울특별시,금천구,가산동,블랙,2025-10-31
