플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,5jfvku4yydq1,920000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%95%91%ED%81%AC-256-5jfvku4yydq1/?in=%EC%83%81%EB%B4%89%EB%8F%99-6409,아이폰 16,아이폰 16 핑크 256,256.0,서울특별시,중랑구,상봉동,핑크,2025-10-24
당근마켓,7h2j31d5qaqe,770000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-256%EA%B8%B0%EA%B0%80-%EC%99%84%EC%A0%84-s%EA%B8%89-7h2j31d5qaqe/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16,아이폰 16 256기가 완전 S급!!!,256.0,서울특별시,금천구,가산동,,2025-10-24
당근마켓,j4hvut9815hh,720000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%99%94%EC%9D%B4%ED%8A%B8-128gb-j4hvut9815hh/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 16,아이폰 16 화이트 128GB,128.0,서울특별시,강서구,화곡동,화이트,2025-10-24
