플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,pcf1icrgy47j,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-pcf1icrgy47j/?in=%EC%9E%90%EC%96%91%EB%8F%99-6060,아이폰 15,아이폰 15 판매합니다~~,,서울특별시,광진구,자양동,,2025-11-05
당근마켓,f9cvpv28pet1,770000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%B8%94%EB%A3%A8-%EC%83%89%EC%83%81-512%EA%B8%B0%EA%B0%80-%EC%9A%A9%EB%9F%89-f9cvpv28pet1/?in=%EB%B6%88%EA%B4%91%EB%8F%99-6255,아이폰 15,아이폰 15 블루 색상 512기가 용량,512.0,서울특별시,은평구,불광동,블루,2025-11-05
당근마켓,h7diqkomm221,680000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%ED%95%91%ED%81%AC-257g-%EB%B0%B0%ED%84%B0%EB%A6%AC86-h7diqkomm221/?in=%EB%B6%88%EA%B4%91%EB%8F%99-6255,아이폰 15,아이폰15 핑크 257g 배터리86%,256.0,서울특별시,은평구,불광동,핑크,2025-11-05
당근마켓,zaqow34r2ome,550000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%B8%94%EB%9E%99-256%EA%B8%B0%EA%B0%80-zaqow34r2ome/?in=%EC%9D%91%EC%95%94%EB%8F%99-6257,아이폰 15,아이폰 15 블랙 256기가,256.0,서울특별시,은평구,응암동,블랙,2025-11-05
