플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,mu3q33td7uwk,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-16pro-%EC%8B%A4%EB%B2%84-128%EA%B8%B0%EA%B0%80-%ED%92%80%EB%B0%95%EC%8A%A4-mu3q33td7uwk/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 16 프로,아이폰 16프로 (16pro) 실버 128기가 풀박스,128.0,서울특별시,서초구,서초동,,2025-11-08
당근마켓,pan6n7q4wu46,900000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256g-%ED%92%80%EB%B0%95%EC%8A%A4-pan6n7q4wu46/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 16 프로,아이폰 16 Pro 데저트 티타늄 256g 풀박스,256.0,서울특별시,서초구,반포동,데저트티타늄,2025-11-08
당근마켓,bfrraof2uxjt,1083000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-512gb-bfrraof2uxjt/?in=%EB%B0%98%ED%8F%AC%EB%8F%99-6126,아이폰 16 프로,아이폰 16프로 512GB,512.0,서울특별시,서초구,반포동,,2025-11-08
당근마켓,3kcbzybhj479,1050000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-256%EA%B8%B0%EA%B0%80-%EB%82%B4%EC%B6%94%EB%9F%B4%ED%8B%B0%ED%83%80%EB%8A%84-%EC%9E%90%EA%B8%89%EC%A0%9C-3kcbzybhj479/?in=%ED%98%9C%ED%99%94%EB%8F%99-14,아이폰 16 프로,아이폰16프로 256기가 내추럴티타늄 자급제,256.0,서울특별시,종로구,혜화동,내추럴티타늄,2025-11-08
당근마켓,gvux5f2qb9ig,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8-256%EA%B8%B0%EA%B0%80-gvux5f2qb9ig/?in=%EB%B6%88%EA%B4%91%EB%8F%99-6255,아이폰 16 프로,아이폰 16프로 화이트 256기가,256.0,서울특별시,은평구,불광동,화이트티타늄,2025-11-08
당근마켓,ftgxsyf11pxb,1050000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-512%EA%B8%B0%EA%B0%80-%ED%99%94%EC%9D%B4%ED%8A%B8-ftgxsyf11pxb/?in=%EC%9D%91%EC%95%94%EB%8F%99-6257,아이폰 16 프로,아이폰 16프로 512기가 화이트,512.0,서울특별시,은평구,응암동,화이트티타늄,2025-11-08
당근마켓,jnxgg6c84c41,900000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-128gb-jnxgg6c84c41/?in=%ED%95%A9%EC%A0%95%EB%8F%99-231,아이폰 16 프로,아이폰 16 Pro 데저트 티타늄 128GB,128.0,서울특별시,마포구,합정동,데저트티타늄,2025-11-08
당근마켓,vhqgagx7u4ds,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16pro-%ED%94%84%EB%A1%9C-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-512%EA%B8%B0%EA%B0%80-vhqgagx7u4ds/?in=%EC%84%9C%EA%B5%90%EB%8F%99-230,아이폰 16 프로,아이폰 16pro 프로 데저트 티타늄 512기가,512.0,서울특별시,마포구,서교동,데저트티타늄,2025-11-08
당근마켓,zbmxjz9qmrpp,900000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256g-%ED%92%80%EB%B0%95%EC%8A%A4-zbmxjz9qmrpp/?in=%EC%82%AC%EB%8B%B9%EB%8F%99-6091,아이폰 16 프로,아이폰 16 Pro 데저트 티타늄 256g 풀박스,256.0,서울특별시,동작구,사당동,데저트티타늄,2025-11-08
당근마켓,oxb2w5ckyygq,880000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-256g-%EB%B0%B0%ED%84%B0%EB%A6%AC-91-%EB%B0%95%EC%8A%A4-oxb2w5ckyygq/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 16 프로,아이폰 16프로 블랙 256G 배터리 91% 박스 ○,256.0,서울특별시,관악구,신림동,블랙티타늄,2025-11-08
당근마켓,q16zy7a8ay9p,1050000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B0%B0%ED%84%B0%EB%A6%AC-94%ED%94%84%EB%A1%9C-%ED%8C%9D%EB%8B%88%EB%8B%A4-q16zy7a8ay9p/?in=%EB%B4%89%EC%B2%9C%EB%8F%99-6058,아이폰 16 프로,아이폰 16 Pro 화이트 티타늄 배터리 94프로 팝니다.,,서울특별시,관악구,봉천동,화이트티타늄,2025-11-08
당근마켓,qzcnz98k7cxe,810000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-128%EA%B8%B0%EA%B0%80-6%EA%B0%9C%EC%9B%94-%EC%93%B4%EA%B1%B0-qzcnz98k7cxe/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16 프로,아이폰 16프로 128기가 6개월 쓴거,128.0,서울특별시,금천구,가산동,,2025-11-08
