플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,xgiyzitsjwni,1080000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-256%EA%B8%B0%EA%B0%80-%EB%B0%B0%ED%84%B0%EB%A6%AC%EC%84%B1%EB%8A%A5100-xgiyzitsjwni/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 16 프로,아이폰16프로 256기가 배터리성능100,256.0,서울특별시,강남구,역삼동,,2025-10-22
당근마켓,v8k66cb6cxus,900000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-256gb-v8k66cb6cxus/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032,아이폰 16 프로,아이폰 16 Pro 256GB,256.0,서울특별시,강남구,대치동,,2025-10-22
당근마켓,dvs65pfb4exk,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16pro-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256gb-dvs65pfb4exk/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 16 프로,아이폰 16pro 화이트 티타늄 256GB,256.0,서울특별시,서초구,서초동,화이트티타늄,2025-10-22
당근마켓,pb11btaw1fyo,1000000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-256-%EB%8D%B0%EC%A0%80%ED%8A%B8%ED%8B%B0%ED%83%80%EB%8A%84-pb11btaw1fyo/?in=%EC%9E%A0%EC%8B%A4%EB%8F%99-6188,아이폰 16 프로,아이폰 16 프로 256 데저트티타늄,256.0,서울특별시,송파구,잠실동,데저트티타늄,2025-10-22
당근마켓,fjbpa2dsgbi8,987000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256-fjbpa2dsgbi8/?in=%EC%9E%90%EC%96%91%EB%8F%99-6060,아이폰 16 프로,아이폰 16 Pro 화이트 티타늄 256,256.0,서울특별시,광진구,자양동,화이트티타늄,2025-10-22
당근마켓,kgkvmhvo5te5,1050000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%B0%B0%ED%84%B0%EB%A6%AC-97-ss%EA%B8%89-2025%EB%85%84-%EA%B5%AC%EB%A7%A4-kgkvmhvo5te5/?in=%EC%84%B1%EC%88%98%EB%8F%991%EA%B0%80-6140,아이폰 16 프로,"아이폰 16 Pro, 배터리 97%, SS급' 2025년 구매",,서울특별시,성동구,성수동1가,,2025-10-22
당근마켓,vmwo7u5j9obz,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-vmwo7u5j9obz/?in=%EB%A9%B4%EB%AA%A9%EB%8F%99-6407,아이폰 16 프로,아이폰16프로,,서울특별시,중랑구,면목동,,2025-10-22
당근마켓,bvc8e4ena193,980000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-128gb-%EB%B8%94%EB%9E%99-%EC%9E%90%EA%B8%89%EC%A0%9C-bvc8e4ena193/?in=%EC%82%AC%EB%8B%B9%EB%8F%99-6091,아이폰 16 프로,아이폰 16 Pro 128GB 블랙 자급제,128.0,서울특별시,동작구,사당동,블랙티타늄,2025-10-22
당근마켓,1tc6ddro9hq6,1200000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-pro-256-%EB%B8%94%EB%9E%99-25-08-%EA%B5%AC%EB%A7%A4-1%EB%8B%AC-%EC%82%AC%EC%9A%A9-1tc6ddro9hq6/?in=%EB%8F%85%EC%82%B0%EB%8F%99-6070,아이폰 16 프로,아이폰16 pro 256 블랙 (25.08 구매 1달 사용),256.0,서울특별시,금천구,독산동,블랙티타늄,2025-10-22
당근마켓,eu8ovu61bv4d,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-256gb-%EC%8B%A4%EB%B2%84-eu8ovu61bv4d/?in=%EA%B5%AC%EB%A1%9C%EB%8F%99-6064,아이폰 16 프로,아이폰 16 프로 256GB 실버,256.0,서울특별시,구로구,구로동,,2025-10-22
당근마켓,ntdc3ktemv87,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-256-%EB%B8%94%EB%9E%99-%EC%9E%90%EA%B8%89%EC%A0%9C-s%EA%B8%89-%ED%92%80%EB%B0%95%EC%8A%A4-%ED%8C%9D%EB%8B%88%EB%8B%A4-ntdc3ktemv87/?in=%EB%AA%A9%EB%8F%99-6190,아이폰 16 프로,아이폰 16 Pro 256 블랙 자급제 S급 풀박스 팝니다.,256.0,서울특별시,양천구,목동,블랙티타늄,2025-10-22
당근마켓,w3g1ce9ec1ac,960000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-128%EA%B8%B0%EA%B0%80-%EB%8D%B0%EC%A0%80%ED%8A%B8-w3g1ce9ec1ac/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 16 프로,아이폰16프로 128기가 데저트,128.0,서울특별시,강서구,화곡동,데저트티타늄,2025-10-22
당근마켓,3rysnc1p3i6b,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016pro-128%EA%B8%B0%EA%B0%80-%EA%B7%B8%EB%A0%88%EC%9D%B4-3rysnc1p3i6b/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 16 프로,아이폰16Pro 128기가 그레이,128.0,서울특별시,강서구,화곡동,,2025-10-22
