플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,jydjhkfw8buh,440000.0,https://www.daangn.com/kr/buy-sell/%EB%AC%B4%EC%9D%8C-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EC%95%84%EC%9D%B4%ED%8F%B0-16-256-%ED%8C%8C%EC%86%90-jydjhkfw8buh/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 16,✅️ 무음 카메라 + 아이폰 16 256 파손,256.0,서울특별시,강남구,역삼동,,2025-11-04
당근마켓,fj3ud59x9unu,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-%ED%99%94%EC%9D%B4%ED%8A%B8-256gb-fj3ud59x9unu/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 16,아이폰16 화이트 256GB,256.0,서울특별시,강남구,역삼동,화이트,2025-11-04
당근마켓,zzr7ivuxgfjz,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-%ED%95%91%ED%81%AC-zzr7ivuxgfjz/?in=%EC%9E%A5%EC%95%88%EB%8F%99-6085,아이폰 16,아이폰16 핑크,,서울특별시,동대문구,장안동,핑크,2025-11-04
당근마켓,z3t1w9rca5kz,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016-%ED%99%94%EC%9D%B4%ED%8A%B8-256gb-%EC%9E%90%EA%B8%89%EC%A0%9C-z3t1w9rca5kz/?in=%EB%B4%89%EC%B2%9C%EB%8F%99-6058,아이폰 16,아이폰16 화이트 256GB 자급제,256.0,서울특별시,관악구,봉천동,화이트,2025-11-04
